"font family","style","genre","subgenre","monospace","cap","ch","em","ex","ic","lh","foundry","designers","added","updated"
"Montserrat Alternates","thin italic","sans-serif","","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","extra-light italic","sans-serif","","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","light italic","sans-serif","","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","regular italic","sans-serif","","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","medium italic","sans-serif","","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","semi-bold italic","sans-serif","","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","bold italic","sans-serif","","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","extra-bold italic","sans-serif","","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","black italic","sans-serif","","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Subrayada","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky","2012-10-01","2019-07-16"
